frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,ipv6.plen,ipv6.nxt,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.encap_type,frame.ignored,frame.len,frame.marked,frame.number,frame.offset_shift,mqtt.dupflag,mqtt.hdrflags,mqtt.len,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,label
0.000022000,0.000022000,1.573.862.428.262.990.000,105.135.493.729.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:ce50:e3ff:fe1c:32ec,1883.0,61445.0,68:a3:c4:6e:50:12,cc:50:e3:1c:32:ec,74,1,0,74,0,253491,0.0,,,,,,,,,normal
0.004056000,0.004056000,1.573.862.428.267.050.000,105.135.497.785.000,64,6,fd9e:6c51:2336:0:ce50:e3ff:fe1c:32ec,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,61445.0,1883.0,cc:50:e3:1c:32:ec,68:a3:c4:6e:50:12,118,1,0,118,0,253492,0.0,0.0,0x00000031,42.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node02/umidade,35.0,normal
0.000025000,0.000025000,1.573.862.428.267.080.000,105.135.497.810.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:ce50:e3ff:fe1c:32ec,1883.0,61445.0,68:a3:c4:6e:50:12,cc:50:e3:1c:32:ec,74,1,0,74,0,253493,0.0,,,,,,,,,normal
0.951162000,0.951162000,1.573.862.429.218.240.000,105.136.448.972.000,66,6,fd9e:6c51:2336:0:6ac6:3aff:fe99:4054,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,60950.0,1883.0,68:c6:3a:99:40:54,68:a3:c4:6e:50:12,120,1,0,120,0,253494,0.0,0.0,0x00000031,44.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node08/temperatura,39.0,normal
0.000019000,0.000019000,1.573.862.429.218.260.000,105.136.448.991.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:6ac6:3aff:fe99:4054,1883.0,60950.0,68:a3:c4:6e:50:12,68:c6:3a:99:40:54,74,1,0,74,0,253495,0.0,,,,,,,,,normal
0.002063000,0.002063000,1.573.862.429.220.320.000,105.136.451.054.000,62,6,fd9e:6c51:2336:0:6ac6:3aff:fe99:4054,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,60950.0,1883.0,68:c6:3a:99:40:54,68:a3:c4:6e:50:12,116,1,0,116,0,253496,0.0,0.0,0x00000031,40.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node08/umidade,35.0,normal
0.000010000,0.000010000,1.573.862.429.220.330.000,105.136.451.064.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:6ac6:3aff:fe99:4054,1883.0,60950.0,68:a3:c4:6e:50:12,68:c6:3a:99:40:54,74,1,0,74,0,253497,0.0,,,,,,,,,normal
4.681.946.000,4.681.946.000,1.573.862.433.902.280.000,105.141.133.010.000,68,6,fd9e:6c51:2336:0:ce50:e3ff:fe1c:2a5b,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,60164.0,1883.0,cc:50:e3:1c:2a:5b,68:a3:c4:6e:50:12,122,1,0,122,0,253498,0.0,0.0,0x00000031,46.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node03/temperatura,39.0,normal
0.000022000,0.000022000,1.573.862.433.902.300.000,105.141.133.032.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:ce50:e3ff:fe1c:2a5b,1883.0,60164.0,68:a3:c4:6e:50:12,cc:50:e3:1c:2a:5b,74,1,0,74,0,253499,0.0,,,,,,,,,normal
0.003891000,0.003891000,1.573.862.433.906.190.000,105.141.136.923.000,64,6,fd9e:6c51:2336:0:ce50:e3ff:fe1c:2a5b,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,60164.0,1883.0,cc:50:e3:1c:2a:5b,68:a3:c4:6e:50:12,118,1,0,118,0,253500,0.0,0.0,0x00000031,42.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node03/umidade,35.0,normal
0.000010000,0.000010000,1.573.862.433.906.200.000,105.141.136.933.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:ce50:e3ff:fe1c:2a5b,1883.0,60164.0,68:a3:c4:6e:50:12,cc:50:e3:1c:2a:5b,74,1,0,74,0,253501,0.0,,,,,,,,,normal
0.675945000,0.675945000,1.573.862.434.582.140.000,105.141.812.878.000,68,6,fd9e:6c51:2336:0:ce50:e3ff:fe55:cd91,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,62795.0,1883.0,cc:50:e3:55:cd:91,68:a3:c4:6e:50:12,122,1,0,122,0,253502,0.0,0.0,0x00000031,46.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node01/temperatura,39.0,normal
0.000015000,0.000015000,1.573.862.434.582.160.000,105.141.812.893.000,20,6,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,fd9e:6c51:2336:0:ce50:e3ff:fe55:cd91,1883.0,62795.0,68:a3:c4:6e:50:12,cc:50:e3:55:cd:91,74,1,0,74,0,253503,0.0,,,,,,,,,normal
0.003294000,0.003294000,1.573.862.434.585.450.000,105.141.816.187.000,64,6,fd9e:6c51:2336:0:ce50:e3ff:fe55:cd91,fd9e:6c51:2336:0:717b:e02b:9c00:d43a,62795.0,1883.0,cc:50:e3:55:cd:91,68:a3:c4:6e:50:12,118,1,0,118,0,253504,0.0,0.0,0x00000031,42.0,3.0,0.0,1.0,ufpi/ppgcc/esp-dht22-node01/umidade,35.0,normal
