frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
3703556000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0374187000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3794416000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1474995000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0681744000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0004658000,62,6,116,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1225446000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0115405000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1466935000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2335356000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3040327000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3271305000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0981248000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1725086000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0441475000,32,58,86,0,0,00,0,0,0,0,0,1,00,10,10,00,00
3208154000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0342595000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0492803000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0535152000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0557168000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0701899000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0004890000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0063632000,20,6,74,0,0,00,0,0,0,0,0,1,10,00,10,00,00
2047266000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0024924000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2314809000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1619513000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0959880000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1451267000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2108293000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1851841000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0013363000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3311331000,20,6,74,0,0,00,0,0,0,0,0,1,10,00,10,00,00
1006096000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2541295000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0957939000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0790117000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1803667000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3087835000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0281292000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2842015000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0257882000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0338142000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0363702000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0681784000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4382887000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2621937000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2719689000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0455099000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0036271000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1633938000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0518643000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2132415000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0000458000,72,6,126,0,1,150,0,1,0,0,1,0,10,00,10,00,00
